Model,Dataset_period,Scenario,File,Start_date,End_date,N_records,N_station_columns,Status
ACCESS-ESM1-5,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\ACCESS-ESM1-5\bc_pr_day_ACCESS-ESM1-5_historical_r1i1p1f1_gn_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12418,64,OK
ACCESS-ESM1-5,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\ACCESS-ESM1-5\bc_pr_day_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
ACCESS-ESM1-5,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\ACCESS-ESM1-5\bc_pr_day_ACCESS-ESM1-5_ssp585_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
CESM2,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\CESM2\bc_pr_day_CESM2_historical_r11i1p1f1_gn_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12410,64,OK
CESM2,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\CESM2\bc_pr_day_CESM2_ssp245_r11i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31390,64,OK
CESM2,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\CESM2\bc_pr_day_CESM2_ssp585_r11i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31390,64,OK
CanESM5,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\CanESM5\bc_pr_day_CanESM5_historical_r1i1p1f1_gn_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12410,64,OK
CanESM5,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\CanESM5\bc_pr_day_CanESM5_ssp245_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31390,64,OK
CanESM5,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\CanESM5\bc_pr_day_CanESM5_ssp585_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31390,64,OK
EC-Earth3,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\EC-Earth3\bc_pr_day_EC-Earth3_historical_r1i1p1f1_gr_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12418,64,OK
EC-Earth3,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\EC-Earth3\bc_pr_day_EC-Earth3_ssp245_r1i1p1f1_gr_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
EC-Earth3,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\EC-Earth3\bc_pr_day_EC-Earth3_ssp585_r1i1p1f1_gr_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
FGOALS-g3,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\FGOALS-g3\bc_pr_day_FGOALS-g3_historical_r1i1p1f1_gn_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12410,64,OK
FGOALS-g3,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\FGOALS-g3\bc_pr_day_FGOALS-g3_ssp245_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31390,64,OK
FGOALS-g3,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\FGOALS-g3\bc_pr_day_FGOALS-g3_ssp585_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31390,64,OK
MIROC6,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\MIROC6\bc_pr_day_MIROC6_historical_r1i1p1f1_gn_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12418,64,OK
MIROC6,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\MIROC6\bc_pr_day_MIROC6_ssp245_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
MIROC6,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\MIROC6\bc_pr_day_MIROC6_ssp585_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
MRI-ESM2-0,historical,Historical,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\MRI-ESM2-0\bc_pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19810101-20141231_63sta.csv,1981-01-01,2014-12-31,12418,64,OK
MRI-ESM2-0,ssp245,SSP2-4.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\MRI-ESM2-0\bc_pr_day_MRI-ESM2-0_ssp245_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
MRI-ESM2-0,ssp585,SSP5-8.5,C:\MyPython\CMIP6Uttaradit\Data_Uttaradit\MRI-ESM2-0\bc_pr_day_MRI-ESM2-0_ssp585_r1i1p1f1_gn_20150101-21001231_63sta.csv,2015-01-01,2100-12-31,31411,64,OK
